,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,f
1290,"frozenset({'sku#_2533947', 'sku#_1922517'})","frozenset({'sku#_3832818', 'sku#_3160746'})",0.00015102318205844598,0.00022653477308766896,0.00015102318205844598,1.0,4414.333333333333,0.00015098897005616738,inf,0.6666666666666666
273,"frozenset({'sku#_5314891', 'sku#_5186036'})","frozenset({'sku#_1117573', 'sku#_6517635'})",0.00011019890903080059,0.00022039781806160118,0.00011019890903080059,1.0,4537.25,0.00011017462143169743,inf,0.49999999999999994
1287,"frozenset({'sku#_3832818', 'sku#_3160746'})","frozenset({'sku#_2533947', 'sku#_1922517'})",0.00022653477308766896,0.00015102318205844598,0.00015102318205844598,0.6666666666666666,4414.333333333333,0.00015098897005616738,2.9995469304538247,0.4444444444444444
254,"frozenset({'sku#_2603068', 'sku#_5617607'})","frozenset({'sku#_740521', 'sku#_2484194'})",0.00011019890903080059,0.0003305967270924018,0.00011019890903080059,1.0,3024.833333333333,0.00011016247763214585,inf,0.33333333333333326
1357,"frozenset({'sku#_3401136', 'sku#_1922517', 'sku#_1591136'})","frozenset({'sku#_5941128', 'sku#_5441798'})",0.00022653477308766896,0.00022653477308766896,0.00015102318205844598,0.6666666666666666,2942.8888888888887,0.0001509718640550281,2.9993203956807366,0.2962962962962963
1376,"frozenset({'sku#_5941128', 'sku#_5441798'})","frozenset({'sku#_3401136', 'sku#_1922517', 'sku#_1591136'})",0.00022653477308766896,0.00022653477308766896,0.00015102318205844598,0.6666666666666666,2942.8888888888887,0.0001509718640550281,2.9993203956807366,0.2962962962962963
269,"frozenset({'sku#_6517635', 'sku#_5314891'})","frozenset({'sku#_1117573', 'sku#_5186036'})",0.0001652983635462009,0.0001652983635462009,0.00011019890903080059,0.6666666666666666,4033.1111111111104,0.00011017158548180953,2.999504104909361,0.29629629629629617
272,"frozenset({'sku#_1117573', 'sku#_5186036'})","frozenset({'sku#_6517635', 'sku#_5314891'})",0.0001652983635462009,0.0001652983635462009,0.00011019890903080059,0.6666666666666666,4033.1111111111104,0.00011017158548180953,2.999504104909361,0.29629629629629617
1363,"frozenset({'sku#_1922517', 'sku#_5941128', 'sku#_1591136'})","frozenset({'sku#_3401136', 'sku#_5441798'})",0.00015102318205844598,0.0006040927282337839,0.00015102318205844598,1.0,1655.375,0.00015093195005236974,inf,0.25
258,"frozenset({'sku#_5617607', 'sku#_740521'})","frozenset({'sku#_2603068', 'sku#_2484194'})",0.0001652983635462009,0.0002754972725770015,0.00011019890903080059,0.6666666666666666,2419.866666666667,0.00011015336978248217,2.9991735081822686,0.17777777777777778
1365,"frozenset({'sku#_5941128', 'sku#_5441798', 'sku#_1591136'})","frozenset({'sku#_3401136', 'sku#_1922517'})",0.00015102318205844598,0.0009816506833798988,0.00015102318205844598,1.0,1018.6923076923077,0.0001508749300485721,inf,0.15384615384615385
1358,"frozenset({'sku#_3401136', 'sku#_5941128', 'sku#_1591136'})","frozenset({'sku#_1922517', 'sku#_5441798'})",0.00022653477308766896,0.00045306954617533793,0.00015102318205844598,0.6666666666666666,1471.4444444444443,0.0001509205460516102,2.9986407913614737,0.14814814814814814
271,"frozenset({'sku#_1117573', 'sku#_5314891'})","frozenset({'sku#_6517635', 'sku#_5186036'})",0.0001652983635462009,0.0003856961816078021,0.00011019890903080059,0.6666666666666666,1728.4761904761904,0.0001101351540831548,2.9988429114551765,0.12698412698412698
1362,"frozenset({'sku#_3401136', 'sku#_5941128', 'sku#_5441798'})","frozenset({'sku#_1922517', 'sku#_1591136'})",0.00015102318205844598,0.0012081854564675678,0.00015102318205844598,1.0,827.6875,0.0001508407180462935,inf,0.125
1360,"frozenset({'sku#_3401136', 'sku#_5941128', 'sku#_1922517'})","frozenset({'sku#_5441798', 'sku#_1591136'})",0.00015102318205844598,0.0015102318205844597,0.00015102318205844598,1.0,662.15,0.0001507951020432554,inf,0.1
178,"frozenset({'sku#_784816', 'sku#_946327'})","frozenset({'sku#_1464816', 'sku#_3764815'})",0.0001013890297069857,0.0010138902970698571,0.0001013890297069857,1.0,986.3,0.00010128623235353647,inf,0.09999999999999999
165,"frozenset({'sku#_784816', 'sku#_936327'})","frozenset({'sku#_1464816', 'sku#_3764815'})",0.0001013890297069857,0.0010138902970698571,0.0001013890297069857,1.0,986.3,0.00010128623235353647,inf,0.09999999999999999
1364,"frozenset({'sku#_1922517', 'sku#_5441798', 'sku#_1591136'})","frozenset({'sku#_3401136', 'sku#_5941128'})",0.00022653477308766896,0.0006796043192630069,0.00015102318205844598,0.6666666666666666,980.9629629629629,0.00015086922804819234,2.9979611870422107,0.09876543209876543
257,"frozenset({'sku#_5617607', 'sku#_2484194'})","frozenset({'sku#_2603068', 'sku#_740521'})",0.0001652983635462009,0.000550994545154003,0.00011019890903080059,0.6666666666666666,1209.9333333333334,0.00011010783053416375,2.998347016364538,0.08888888888888889
1366,"frozenset({'sku#_1922517', 'sku#_5941128', 'sku#_5441798'})","frozenset({'sku#_3401136', 'sku#_1591136'})",0.00015102318205844598,0.0018877897757305746,0.00015102318205844598,1.0,529.72,0.00015073808203945775,inf,0.08
103,"frozenset({'sku#_3663723', 'sku#_2391007'})","frozenset({'sku#_2313723', 'sku#_5663723'})",0.00012260912211868564,0.0015939185875429131,0.00012260912211868564,1.0,627.3846153846154,0.00012241369315993834,inf,0.07692307692307693
